"index","window","method","order","RMSE","MAE","MASE","sMAPE","adf_p","kpss_p","stationarity","aic_order","aic_MASE"
"NIFTY50",5,"Naive","",0.00235913880321384,0.00139553533224051,0.85823072839167,19.8254122618931,0.01,0.0335504936505592,"inconclusive",NA,NA
"NIFTY50",5,"SES","",0.00235916210094417,0.00139553539728951,0.858230768395707,19.825175210585,0.01,0.0335504936505592,"inconclusive",NA,NA
"NIFTY50",5,"Holt","",0.0023770377756528,0.0014069555808089,0.86525398894325,20.0502507746718,0.01,0.0335504936505592,"inconclusive",NA,NA
"NIFTY50",5,"ARIMA","5,1,0",0.00220568490375439,0.0013898256675245,0.854719380742575,20.1317660250711,0.01,0.0335504936505592,"inconclusive","5,1,0",0.854719380742575
"NIFTY50",10,"Naive","",0.00116904884392563,0.000633698794946877,0.853723792481787,8.30780014371014,0.01,0.0229981024033967,"inconclusive",NA,NA
"NIFTY50",10,"SES","",0.00116906610431538,0.000633702972774964,0.853729420883272,8.30779179597157,0.01,0.0229981024033967,"inconclusive",NA,NA
"NIFTY50",10,"Holt","",0.00116912204671798,0.0006337709383609,0.853820984632874,8.31057290229404,0.01,0.0229981024033967,"inconclusive",NA,NA
"NIFTY50",10,"ARIMA","0,1,0",0.00116904884392563,0.000633698794946877,0.853723792481787,8.30780014371014,0.01,0.0229981024033967,"inconclusive","3,1,0",0.86847834683101
"NIFTY50",20,"Naive","",0.000643290596836259,0.000315768727145422,0.874211060171837,3.96261541308532,0.01,0.016609545144532,"inconclusive",NA,NA
"NIFTY50",20,"SES","",0.000643303557199049,0.000315772580166156,0.874221727324887,3.96265768033326,0.01,0.016609545144532,"inconclusive",NA,NA
"NIFTY50",20,"Holt","",0.000652248956797008,0.000354148760943553,0.980466832677908,4.53315047051674,0.01,0.016609545144532,"inconclusive",NA,NA
"NIFTY50",20,"ARIMA","1,1,1",0.000636684553432257,0.000331865813691629,0.918776116447207,4.22826895964963,0.01,0.016609545144532,"inconclusive","5,1,3",0.936504012915869
"NIFTY50",30,"Naive","",0.000450892200659907,0.000207884349352301,0.826508132867212,2.56413384260688,0.01,0.0112536338131952,"inconclusive",NA,NA
"NIFTY50",30,"SES","",0.000450902657663165,0.000207887722700989,0.826521544651859,2.56416749847821,0.01,0.0112536338131952,"inconclusive",NA,NA
"NIFTY50",30,"Holt","",0.000455547811632401,0.000235160226548564,0.934951767051495,2.9230954433773,0.01,0.0112536338131952,"inconclusive",NA,NA
"NIFTY50",30,"ARIMA","1,1,1",0.000445169049738788,0.000220690597288823,0.877423308078943,2.74305046661182,0.01,0.0112536338131952,"inconclusive","3,1,1",0.88430184464442
"SENSEX",5,"Naive","",0.00237374847463068,0.00141304546645086,0.871639347844166,20.1400610685709,0.01,0.033936408896692,"inconclusive",NA,NA
"SENSEX",5,"SES","",0.00237574795968932,0.00141366739033907,0.872022982585723,20.129067430768,0.01,0.033936408896692,"inconclusive",NA,NA
"SENSEX",5,"Holt","",0.00237522705103095,0.00141349549131181,0.871916946396813,20.1391165289346,0.01,0.033936408896692,"inconclusive",NA,NA
"SENSEX",5,"ARIMA","5,1,0",0.00222484654136384,0.00140199126477114,0.864820545921781,20.3191793874224,0.01,0.033936408896692,"inconclusive","5,1,0",0.864820545921781
"SENSEX",10,"Naive","",0.0011612810984452,0.000632330788674783,0.855574830861213,8.25011418054596,0.01,0.0233124136961521,"inconclusive",NA,NA
"SENSEX",10,"SES","",0.00116129662433508,0.000632333583787978,0.855578612787607,8.25009578973652,0.01,0.0233124136961521,"inconclusive",NA,NA
"SENSEX",10,"Holt","",0.0011613526203523,0.000632401457116021,0.855670448757324,8.25260903838624,0.01,0.0233124136961521,"inconclusive",NA,NA
"SENSEX",10,"ARIMA","0,1,0",0.0011612810984452,0.000632330788674783,0.855574830861213,8.25011418054596,0.01,0.0233124136961521,"inconclusive","3,1,0",0.872695376671027
"SENSEX",20,"Naive","",0.000635074310760288,0.000317798731796427,0.886961756514135,3.96536412479953,0.01,0.016563921153206,"inconclusive",NA,NA
"SENSEX",20,"SES","",0.000635086196569961,0.000317802934897488,0.886973487177372,3.96541043183775,0.01,0.016563921153206,"inconclusive",NA,NA
"SENSEX",20,"Holt","",0.000645274711082469,0.000356158870830963,0.994023153851594,4.51339654654141,0.01,0.016563921153206,"inconclusive",NA,NA
"SENSEX",20,"ARIMA","1,1,1",0.00062999804243484,0.000334541331977529,0.933689589508625,4.22575309399115,0.01,0.016563921153206,"inconclusive","5,1,3",0.956359022694975
"SENSEX",30,"Naive","",0.000437892582887766,0.000205186540031365,0.812809405910677,2.51687680016611,0.01,0.0108533762968195,"inconclusive",NA,NA
"SENSEX",30,"SES","",0.000437902933669487,0.00020518982002054,0.812822398995175,2.5169115499434,0.01,0.0108533762968195,"inconclusive",NA,NA
"SENSEX",30,"Holt","",0.000442901551700407,0.000232231954508145,0.919944928884647,2.8732451471432,0.01,0.0108533762968195,"inconclusive",NA,NA
"SENSEX",30,"ARIMA","1,1,1",0.000432117588836627,0.000217757786802024,0.862608128661467,2.69386010775233,0.01,0.0108533762968195,"inconclusive","3,1,1",0.871116878202644
"BANKNIFTY",5,"Naive","",0.00294137713649958,0.00170326081653751,0.760134288673879,20.2838967619949,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",5,"SES","",0.00295157240207457,0.00170448844645548,0.760682157553028,20.2482998992878,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",5,"Holt","",0.0029521130654154,0.00170462396906593,0.760742638826411,20.252651181333,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",5,"ARIMA","5,1,0",0.00278113832427041,0.00172394207210272,0.769363956458936,20.6371583157032,0.01,0.01,"inconclusive","5,1,0",0.769363956458936
"BANKNIFTY",10,"Naive","",0.0015332796274262,0.000793880816558376,0.771416042263713,8.66183939872172,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"SES","",0.00153330314273222,0.000793883007091465,0.77141817081038,8.66184910879354,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"Holt","",0.00153338197860807,0.000793922593720039,0.771456637239728,8.66299816112353,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",10,"ARIMA","0,1,0",0.0015332796274262,0.000793880816558376,0.771416042263713,8.66183939872172,0.01,0.01,"inconclusive","5,1,5",0.819183745071693
"BANKNIFTY",20,"Naive","",0.000844524881012555,0.000396856046451707,0.791146100682569,4.14725838984658,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"SES","",0.000844543441633498,0.000396861535205276,0.791157042700518,4.14731140840058,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"Holt","",0.000856727867709423,0.000444435515337258,0.885997399076311,4.64079304055664,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",20,"ARIMA","1,1,1",0.000837402396827251,0.000414558419115397,0.82643638599113,4.3360905706628,0.01,0.01,"inconclusive","3,1,3",0.897499447445139
"BANKNIFTY",30,"Naive","",0.000593007514448085,0.000263491034665651,0.764127690877792,2.69494290337448,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"SES","",0.000593020678048124,0.000263496109488034,0.76414240793378,2.69498636819912,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"Holt","",0.000597394368932718,0.000297544881464343,0.862884323538216,3.04621553863046,0.01,0.01,"inconclusive",NA,NA
"BANKNIFTY",30,"ARIMA","2,1,2",0.000585881584990649,0.000285441154584608,0.827783346067149,2.9220066213226,0.01,0.01,"inconclusive","3,1,4",0.871475166770481
